name,url
Tavolata - Capitol Hill,https://www.yelp.com/biz/tavol%C3%A0ta-capitol-hill-seattle-3
Almanqal Mediterranean Grill,https://www.yelp.com/biz/almanqal-mediterranean-grill-seattle
Hannyatou,https://www.yelp.com/biz/hannyatou-seattle-2
Karachi Cowboys,https://www.yelp.com/biz/karachi-cowboys-seattle
Niku Niku Japanese Barbecue,https://www.yelp.com/biz/niku-niku-japanese-barbecue-seattle
Sugo Hand Roll Bar,https://www.yelp.com/biz/sugo-hand-roll-bar-seattle-2
Mike's Noodle House,https://www.yelp.com/biz/mikes-noodle-house-seattle
Gold Bar,https://www.yelp.com/biz/gold-bar-seattle-3
Call A Chicken,https://www.yelp.com/biz/call-a-chicken-seattle-2
Harbor City Restaurant,https://www.yelp.com/biz/harbor-city-restaurant-seattle
Windy City Pie,https://www.yelp.com/biz/windy-city-pie-seattle
